time	Weight	rate	Condition
0.15	1535	5.14	Shadow
6.38	1515	3.77	Shadow
8.16	1515	3.77	Shadow
8.52	1515	3.77	Shadow
9.5	1515	3.77	Shadow
11.2	1515	3.77	Shadow
12.3	1515	3.77	Shadow
14.2	1515	3.77	Shadow
16	1515	3.77	Shadow
18	1515	3.77	Shadow
20.3	1515	3.77	Shadow
25.2	1515	3.77	Shadow
28	1515	3.77	Shadow
31	1515	3.77	Shadow
34	1515	3.77	Shadow
26	1515	3.77	Shadow
38	1515	3.77	Shadow
40.15	1515	3.77	Shadow
0.41	1600	1.91	Sun
1.03	1600	1.91	Sun
1.48	1600	1.91	Sun
2.93	1600	1.91	Sun
3.47	1600	1.91	Sun
4.43	1600	1.91	Sun
5.33	1580	0.64	Sun
6.93	1580	0.64	Sun
8.93	1580	0.64	Sun
11.18	1580	0.64	Sun
12.93	1580	0.64	Sun
13.93	1575	0.32	Sun
15.93	1575	0.32	Sun
17.93	1575	0.32	Sun
21.93	1575	0.32	Sun
29.93	1575	0.32	Sun
39.93	1570	0.00	Sun
