time	Temp	Soak	Sun
0	39.2	N	Sun
1.39	39.5	N	Sun
3.08	39.3	N	Sun
5.19	39.5	N	Sun
6.44	39.2	N	Sun
7.54	39.3	N	Sun
8.4	39.3	N	Sun
9.5	39	N	Sun
13.14	39.2	N	Sun
14.55	39.2	N	Sun
15.2	39.3	N	Sun
16.54	39.3	N	Sun
17.5	39.3	N	Sun
18.4	39.3	N	Sun
20	39.4	N	Sun
22	39.3	N	Sun
24.5	39.3	N	Sun
26	39.3	N	Sun
27	39.3	N	Sun
32	39.8	N	Sun
35	39.8	N	Sun
40	39.8	N	Sun
53	40	N	Sun
0.20	38.7	Y	Sun
0.41	38.6	Y	Sun
1.03	38.5	Y	Sun
1.48	38.5	Y	Sun
2.93	38.5	Y	Sun
3.47	38.2	Y	Sun
4.43	38.3	Y	Sun
5.33	38.3	Y	Sun
6.93	38	Y	Sun
8.93	38.1	Y	Sun
11.18	37.7	Y	Sun
12.93	37.6	Y	Sun
13.93	37.6	Y	Sun
15.93	37.6	Y	Sun
17.93	37.3	Y	Sun
21.93	37.3	Y	Sun
29.93	37.2	Y	Sun
39.93	37.2	Y	Sun
0.20	39.2	N	Shadow
0.48	39.2	N	Shadow
3.14	39.8	N	Shadow
6.38	39.6	N	Shadow
8.16	39.7	N	Shadow
9.5	39.6	N	Shadow
11.2	39.6	N	Shadow
12.3	39.6	N	Shadow
14.2	39.4	N	Shadow
16	39.3	N	Shadow
18	39.3	N	Shadow
20.3	39.1	N	Shadow
23	39.1	N	Shadow
25.2	38.8	N	Shadow
28	38.8	N	Shadow
31	38.6	N	Shadow
34	38.6	N	Shadow
36	38.3	N	Shadow
38	38.3	N	Shadow
40.5	38.1	N	Shadow
43	38.1	N	Shadow
45	38.1	N	Shadow
4	38.6	Y	Shadow
6.38	38.6	Y	Shadow
8.16	38.3	Y	Shadow
9.5	37.8	Y	Shadow
11.2	37.1	Y	Shadow
12.3	36.6	Y	Shadow
14.2	35.7	Y	Shadow
16	35.5	Y	Shadow
18	35.2	Y	Shadow
20.3	34.9	Y	Shadow
23	34.4	Y	Shadow
25.2	34.1	Y	Shadow
28	33.6	Y	Shadow
31	33.3	Y	Shadow
34	33.1	Y	Shadow
36	32.7	Y	Shadow
38	32.5	Y	Shadow
40.5	32.5	Y	Shadow
43	32.3	Y	Shadow
45	32.2	Y	Shadow
